Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra Óptica,Otros,Satelital,Wimax,Wireless,Total General
Santa Fe,Vera,Paraje 29,0,0,0,0,0,1,0,34,35
Santa Fe,Vera,Pozo de Los Indios,0,0,0,0,0,2,0,23,25
Santa Fe,Vera,Toba,0,0,0,0,0,1,0,52,53
Santa Fe,Vera,Vera (est. Gobernador Vera),106,0,0,0,2,0,0,801,909
Santa Fe,Vera,Los Amores,0,0,0,0,0,0,0,122,122
Santa Fe,Vera,Pueblo Santa Lucía,0,0,0,0,0,0,0,30,30
Santa Fe,Vera,Golondrina,0,0,0,0,0,0,0,70,70
Santa Fe,Vera,Kilómetro 115,0,0,0,0,0,0,0,3,3
Santa Fe,Vera,Tartagal (est. El Tajamar),0,0,0,0,0,0,0,210,210
Tucumán,Burruyacú,7 de Abril,0,0,0,0,0,3,0,3,6
Tucumán,Burruyacú,Otros,0,0,0,0,0,1,0,0,1
Tucumán,Burruyacú,Villa Burruyacú,0,0,0,12,0,3,0,3,18
Tucumán,Burruyacú,Garmendia,0,0,0,0,0,0,0,3,3
Tucumán,Burruyacú,Piedrabuena,0,0,0,0,0,0,0,3,3
Tucumán,Capital,San Miguel de Tucumán (est. Tucumán),4639,1963,30,12958,338,15,0,504,20447
Tucumán,Chicligasta,Arcadia,19,0,0,0,0,0,0,0,19
Tucumán,Chicligasta,Concepción,334,75,0,248,0,0,0,23,680
Tucumán,Chicligasta,La Trinidad,5,0,0,0,0,0,0,0,5
Tucumán,Cruz Alta,Alderetes,0,8,0,297,5,0,0,0,310
Tucumán,Cruz Alta,Banda del Río Salí,0,74,0,262,14,0,0,96,446
Tucumán,Cruz Alta,La Florida,1,0,0,0,0,2,0,10,13
Tucumán,Cruz Alta,Pacará,0,0,0,0,0,0,0,2,2
Tucumán,Cruz Alta,Ranchillos,0,0,0,0,0,0,0,1,1
Tucumán,Cruz Alta,San Andrés,438,0,0,2,0,0,0,0,440
Tucumán,Cruz Alta,El Bracho,0,0,0,0,0,0,0,10,10
Tucumán,Cruz Alta,Delfín Gallo,0,0,0,0,0,0,0,10,10
Tucumán,Cruz Alta,Los Ralos,0,0,0,0,0,0,0,10,10
Tucumán,Cruz Alta,Las Cejas,0,0,0,0,0,3,0,0,3
